[Info]

Chopper_Name=A2M12K  2 ZP1.19
Chopper_Node=8
Chopper_Hour=4
User_Comment=Original Config on the proto inverter
Program_Version=ZAPI PC Can Console 0.67
Save_Date=Wed Aug 29 11:00:20 2018


[Code;Name;Position;Menu;Value;Scaled Value;CodeOpenCan;Node;NotSaved;NameMenu]
250;ACC. TORQUE DEL.;1;4;11;1.1    ;8367;8;0;PARAMETER CHANGE;
250;DEC. TORQUE DEL.;2;4;11;1.1    ;8428;8;0;PARAMETER CHANGE;
250;ACCELER. DELAY ;3;4;20;2.0    ;8192;8;0;PARAMETER CHANGE;
250;RELEASE BRAKING ;4;4;20;2.0    ;8203;8;0;PARAMETER CHANGE;
250;INVERS. BRAKING ;5;4;10;1.0    ;8204;8;0;PARAMETER CHANGE;
250;DECEL. BRAKING  ;6;4;90;9.0    ;8429;8;0;PARAMETER CHANGE;
250;PEDAL BRAKING  ;7;4;10;1.0    ;8205;8;0;PARAMETER CHANGE;
250;TORQUE CREEP  ;8;4;12;4.7 %;8375;8;0;PARAMETER CHANGE;
250;MAX. CURRENT TRA;9;4;18;18 %;8255;8;0;PARAMETER CHANGE;
250;MAX. CURRENT BRK;10;4;18;18 %;8256;8;0;PARAMETER CHANGE;
250;ACC SMOOTH   ;11;4;10;1.0    ;8401;8;0;PARAMETER CHANGE;
250;INV SMOOTH   ;12;4;10;1.0    ;8402;8;0;PARAMETER CHANGE;
250;STOP SMOOTH   ;13;4;10;10 Hz;8403;8;0;PARAMETER CHANGE;
250;BRK SMOOTH   ;14;4;10;1.0    ;8405;8;0;PARAMETER CHANGE;
250;STOP BRK SMOOTH ;15;4;10;10 Hz;8407;8;0;PARAMETER CHANGE;
250;EB. ENGAGE DELAY;16;4;4;0.04    ;8247;8;0;PARAMETER CHANGE;
250;AUXILIARY TIME ;17;4;4;0.4    ;8248;8;0;PARAMETER CHANGE;
250;ROLLING DW SPEED;18;4;5;5 Hz;8446;8;0;PARAMETER CHANGE;
250;MIN EVP     ;19;4;16;6.3 %;8438;8;0;PARAMETER CHANGE;
250;MAX EVP     ;20;4;249;97.6 %;8437;8;0;PARAMETER CHANGE;
250;EVP OPEN DELAY ;21;4;16;0.80    ;8442;8;0;PARAMETER CHANGE;
250;EVP CLOSE DELAY ;22;4;16;0.80    ;8441;8;0;PARAMETER CHANGE;
250;HM DISPLAY OPT. ;1;8;4;4    ;20748;8;0;  SET OPTIONS   ;
250;HM CUSTOM 1 OPT.;2;8;0;0    ;20749;8;0;  SET OPTIONS   ;
250;HM CUSTOM 2 OPT.;3;8;1;1    ;20750;8;0;  SET OPTIONS   ;
250;BATTERY CHECK  ;4;8;0;LEVEL = 0;8313;8;0;  SET OPTIONS   ;
250;STOP ON RAMP  ;5;8;0;OFF       ;8425;8;0;  SET OPTIONS   ;
250;PULL IN BRAKING ;6;8;0;OFF       ;20795;8;0;  SET OPTIONS   ;
250;SOFT LANDING   ;7;8;0;OFF       ;20796;8;0;  SET OPTIONS   ;
250;SET MOT.TEMPERAT;8;8;0;NONE      ;8433;8;0;  SET OPTIONS   ;
250;M.C. FUNCTION  ;9;8;1;ON       ;8377;8;0;  SET OPTIONS   ;
250;M.C. OUTPUT    ;10;8;1;PRESENT     ;8427;8;0;  SET OPTIONS   ;
250;BUMPER STOP   ;11;8;0;OFF       ;20640;8;0;  SET OPTIONS   ;
250;EBRAKE ON APPL.;12;8;1;PRESENT     ;20715;8;0;  SET OPTIONS   ;
250;AUX OUT FUNCTION;13;8;1;BRAKE      ;8431;8;0;  SET OPTIONS   ;
250;SYNCRO      ;14;8;0;OFF       ;20670;8;0;  SET OPTIONS   ;
250;AUTO PARK BRAKE ;15;8;1;ON       ;20655;8;0;  SET OPTIONS   ;
250;ACCEL MODULATION;16;8;1;ON       ;8415;8;0;  SET OPTIONS   ;
250;EVP TYPE    ;17;8;0;NONE      ;8422;8;0;  SET OPTIONS   ;
250;EV1       ;18;8;0;ABSENT     ;8404;8;0;  SET OPTIONS   ;
250;EV2       ;19;8;0;ABSENT     ;20665;8;0;  SET OPTIONS   ;
250;EV3       ;20;8;0;ABSENT     ;20666;8;0;  SET OPTIONS   ;
250;HIGH DYNAMIC  ;21;8;0;OFF       ;20731;8;0;  SET OPTIONS   ;
250;PDO2RX     ;22;8;0;ABSENT     ;20798;8;0;  SET OPTIONS   ;
250;SET BATTERY   ;1;16;1;48 V;20671;8;0;   ADJUSTMENT   ;
250;ADJUST KEY VOLT.;2;16;127;45.45 V;20672;8;0;   ADJUSTMENT   ;
250;ADJUST BATTERY ;3;16;127;42.00 V;20679;8;0;   ADJUSTMENT   ;
250;SET POSITIVE PEB;4;16;1;24 V;20683;8;0;   ADJUSTMENT   ;
250;BAT. MIN ADJ.   ;5;16;0;0.0 %;8370;8;0;   ADJUSTMENT   ;
250;BAT. MAX ADJ.   ;6;16;245;-1.1 %;8369;8;0;   ADJUSTMENT   ;
250;BDI ADJ STARTUP ;7;16;10;1.0 %;8439;8;0;   ADJUSTMENT   ;
250;BDI RESET    ;8;16;30;30 %;20676;8;0;   ADJUSTMENT   ;
250;BATT.LOW TRESHLD;9;16;10;10 %;20720;8;0;   ADJUSTMENT   ;
250;BAT.ENERGY SAVER;10;16;255;100.0 %;20821;8;0;   ADJUSTMENT   ;
250;SPEED FACTOR  ;11;16;140;140    ;20682;8;0;   ADJUSTMENT   ;
250;SPEED ON MDI  ;12;16;0;OFF       ;20681;8;0;   ADJUSTMENT   ;
250;LOAD HM FROM MDI;13;16;0;OFF       ;8426;8;0;   ADJUSTMENT   ;
250;CHECK UP DONE  ;14;16;0;OFF       ;8420;8;0;   ADJUSTMENT   ;
250;CHECK UP TYPE  ;15;16;0;NONE      ;8421;8;0;   ADJUSTMENT   ;
250;MC VOLTAGE   ;16;16;100;100 %;8376;8;0;   ADJUSTMENT   ;
250;MC VOLTAGE RED.;17;16;69;69 %;8378;8;0;   ADJUSTMENT   ;
250;EB VOLTAGE   ;18;16;100;100 %;8436;8;0;   ADJUSTMENT   ;
250;EB VOLTAGE RED.;19;16;100;100 %;8435;8;0;   ADJUSTMENT   ;
250;PWM EV2     ;20;16;255;100.0 %;8440;8;0;   ADJUSTMENT   ;
250;PWM EV3     ;21;16;255;100.0 %;20651;8;0;   ADJUSTMENT   ;
250;MAX. MOTOR TEMP.;22;16;150;150 °C;20716;8;0;   ADJUSTMENT   ;
250;STOP MOTOR TEMP.;23;16;170;170 °C;20717;8;0;   ADJUSTMENT   ;
250;MOT.T. T.CUTBACK;24;16;77;30.2 %;20820;8;0;   ADJUSTMENT   ;
250;ADJUSTMENT #01 ;1;20;241;97.1 %;8351;8;0;SPECIAL ADJUST. ;
250;ADJUSTMENT #02 ;2;20;235;94.7 %;8350;8;0;SPECIAL ADJUST. ;
250;CURR. SENS. COMP;3;20;1;ON       ;8347;8;0;SPECIAL ADJUST. ;
250;CURR. FALLBACK ;4;20;0;OFF       ;8346;8;0;SPECIAL ADJUST. ;
250;SET CURRENT   ;5;20;5;550 A;8334;8;0;SPECIAL ADJUST. ;
250;SET TEMPERATURE ;6;20;100;32 °C;8333;8;0;SPECIAL ADJUST. ;
250;HW BATTERY RANGE;7;20;1;1    ;20747;8;0;SPECIAL ADJUST. ;
250;DUTY PWM CTRAP ;8;20;209;82.0    ;8383;8;0;SPECIAL ADJUST. ;
250;PWM AT LOW FREQ ;9;20;1;8000 Hz;20650;8;0;SPECIAL ADJUST. ;
250;PWM AT HIGH FREQ;10;20;1;8000 Hz;20649;8;0;SPECIAL ADJUST. ;
250;FREQ TO SWITCH ;11;20;80;80 Hz;20648;8;0;SPECIAL ADJUST. ;
250;DITHER AMPLITUDE;12;20;2;2.4 %;8424;8;0;SPECIAL ADJUST. ;
250;DITHER FREQUENCY;13;20;5;31.2 Hz;8423;8;0;SPECIAL ADJUST. ;
250;HIGH ADDRESS  ;14;20;0;0    ;8406;8;0;SPECIAL ADJUST. ;
250;CAN BUS SPEED  ;15;20;3;250    ;20654;8;0;SPECIAL ADJUST. ;
250;EXTENDED FORMAT;16;20;0;OFF       ;20792;8;0;SPECIAL ADJUST. ;
250;DEBUG CANMESSAGE;17;20;0;LEVEL = 0;8368;8;0;SPECIAL ADJUST. ;
250;CONTROLLER TYPE ;18;20;2;2    ;8432;8;0;SPECIAL ADJUST. ;
250;SAFETY LEVEL  ;19;20;3;LEVEL = 3;8381;8;0;SPECIAL ADJUST. ;
250;RS232 CONSOLLE ;20;20;0;OFF       ;20653;8;0;SPECIAL ADJUST. ;
250;ID CANOPEN OFST ;21;20;1;8    ;20700;8;0;SPECIAL ADJUST. ;
250;2ND SDO ID OFST ;22;20;0;0    ;20701;8;0;SPECIAL ADJUST. ;
250;VDC START UP LIM;23;20;129;129 %;20645;8;0;SPECIAL ADJUST. ;
250;VDC UP LIMIT   ;24;20;140;140 %;20646;8;0;SPECIAL ADJUST. ;
250;VDC START DW LIM;25;20;75;75 %;20643;8;0;SPECIAL ADJUST. ;
250;VDC DW LIMIT   ;26;20;58;58 %;20644;8;0;SPECIAL ADJUST. ;
250;DIA.SENS.SUPPLY1;27;20;0;OFF       ;20824;8;0;SPECIAL ADJUST. ;
250;MIN.CURR.SUPPLY1;28;20;0;0 mA;20828;8;0;SPECIAL ADJUST. ;
250;DIA.SENS.SUPPLY2;29;20;0;OFF       ;20825;8;0;SPECIAL ADJUST. ;
250;MIN.CURR.SUPPLY2;30;20;0;0 mA;20829;8;0;SPECIAL ADJUST. ;
250;TOP MAX SPEED  ;1;24;10;100 Hz;8371;8;0;HARDWARE SETTING;
250;CONF.POSITIVE LC;2;24;0;LEVEL = 0;20660;8;0;HARDWARE SETTING;
250;FEEDBACK SENSOR ;3;24;0;0    ;20733;8;0;HARDWARE SETTING;
250;SENSOR ANGLE DEL;4;24;0;0.0 °;20819;8;0;HARDWARE SETTING;
250;ANGLE IDRMS COMP;5;24;0;0.0 °;20822;8;0;HARDWARE SETTING;
250;POSITIVE E.B. ;6;24;0;LEVEL = 0;8379;8;0;HARDWARE SETTING;
250;DIAG. ROTOR LOCK;7;24;1;ON       ;8418;8;0;HARDWARE SETTING;
250;DIAG. LC  CLOSED;8;24;0;ON       ;20803;8;0;HARDWARE SETTING;
250;DIAG. LC  OPEN  ;9;24;0;ON       ;20804;8;0;HARDWARE SETTING;
250;DIAG. PW MIS02  ;10;24;0;ON       ;20826;8;0;HARDWARE SETTING;
250;REST MONITOR SPD;11;24;0;0 Hz;20813;8;0;HARDWARE SETTING;
250;DIAG.JUMP SENSOR;12;24;30;30 Hz;20808;8;0;HARDWARE SETTING;
250;DEAD TIME COMP. ;13;24;1;ON       ;8245;8;0;HARDWARE SETTING;
250;DECOUPLING Q-D  ;14;24;0;OFF       ;20664;8;0;HARDWARE SETTING;
250;ED COMPENSATION;15;24;0;OFF       ;20712;8;0;HARDWARE SETTING;
250;DC-LINK COMP.  ;16;24;1;ON       ;20757;8;0;HARDWARE SETTING;
250;ENABLE WEAKENING;17;24;1;ON       ;8419;8;0;HARDWARE SETTING;
250;ENABLE  MOTION ;18;24;1;ON       ;8363;8;0;HARDWARE SETTING;
250;OVER CURRENT PRO;19;24;0;OFF       ;20827;8;0;HARDWARE SETTING;
250;0:CL 1:SSL 2:OL ;20;24;0;LEVEL = 0;20661;8;0;HARDWARE SETTING;
250;TORQUE CONTROL ;21;24;0;OFF       ;8365;8;0;HARDWARE SETTING;
250;BRAKING TORQUE ;22;24;1;ON       ;8366;8;0;HARDWARE SETTING;
250;RS* AT 25DEG  MO;23;24;145;14.5    ;8384;8;0;HARDWARE SETTING;
250;LD*INDUCTANCE UH;24;24;48;48    ;20743;8;0;HARDWARE SETTING;
250;LQ*INDUCTANCE UH;25;24;48;48    ;20744;8;0;HARDWARE SETTING;
250;ID RMS MIN   ;26;24;0;0 A;20758;8;0;HARDWARE SETTING;
250;ID RMS MAX   ;27;24;24;48 A;8385;8;0;HARDWARE SETTING;
250;ID ANTIROLL  SSL;28;24;33;66 A;20770;8;0;HARDWARE SETTING;
250;CUR.ANGLE GAIN ;29;24;65078;-458    ;20768;8;0;HARDWARE SETTING;
250;CUR.ANGLE OFFSET;30;24;689;68.9 °;20769;8;0;HARDWARE SETTING;
250;MAX FLUX WB/1000;31;24;72;144    ;8386;8;0;HARDWARE SETTING;
250;TR MSEC AT 25DEG;32;24;20;60    ;8387;8;0;HARDWARE SETTING;
250;ANTICLUNK TIME ;33;24;18;0.18    ;20760;8;0;HARDWARE SETTING;
250;ANTICLUNK RAMP ;34;24;50;5.0    ;20761;8;0;HARDWARE SETTING;
250;KP GAIN IQSP L ;35;24;0;0    ;20762;8;0;HARDWARE SETTING;
250;KP GAIN IQSP H ;36;24;5;5    ;20759;8;0;HARDWARE SETTING;
